USID,ndr,n3r,n5r,ndv
225960,-0.09059233449477355,-0.04214559386973171,-0.019157088122605304,2830600.0
225970,-0.1084745762711865,0.11406844106463887,0.08365019011406849,411700.0
225986,0.0,0.0,0.0,0.0
226011,0.029023692399805068,0.1820512307692308,0.12051282051282053,501100.0
226023,-0.05429864253393668,0.07655502392344515,0.09569377990430628,3900.0
226030,-0.07494145199063218,0.040506329113924044,0.017721518987341645,5403300.0
226040,0.002614379084967311,-0.08735332464146017,-0.06779661016949146,6000.0
226047,-0.020000028571428574,0.07376102255863048,0.2551020482537041,201000.0
226067,-0.021739130434782594,-0.005555555555555536,-0.02833333333333332,28800.0
226086,-0.03846153846153855,0.0,-0.04800000000000004,766800.0
226088,-0.013986013986013845,0.06146572104018899,-0.007092198581560294,5919500.0
226091,0.016666666666666607,-0.016393442622950727,0.0,87200.0
226124,0.014705882352941346,-0.1594202898550725,-0.18840579710144933,10000.0
226160,0.021739130434782705,-0.042553191489361764,-0.08510638297872353,133000.0
226164,-0.20138888888888895,-0.19999999999999996,-0.2956521739130433,2057800.0
226194,-0.02506963788300831,0.3085714285714285,0.1657142857142857,1138900.0
226253,0.023255813953488413,-0.011363636363636576,0.05454545454545445,4000.0
226275,-0.08771929824561397,0.05889423076923084,0.05048076923076916,2538000.0
226338,-0.05918997253520075,0.052980132450331174,0.0,1457700.0
226360,0.007751937984496138,0.0,-0.07692307692307698,76400.0
226422,0.22994652406417115,0.04492753623188395,0.018840579710144967,885300.0
226442,-0.009345794392523366,0.2264150943396226,0.07547169811320731,1647000.0
226459,0.06561264822134394,-0.08382789317507422,-0.06750741839762608,2634200.0
226478,-0.01179327089836979,0.02211305721305723,0.03088806598806615,1052300.0
226533,0.20938144119646496,0.012647469778107379,-0.17594158651255842,95600.0
226541,-0.0724637681159419,-0.015625,-0.10937500000000011,118700.0
226552,-0.0535714285714286,0.037735849056603765,0.061320754716981174,2430500.0
226607,-0.031963470319634646,-0.014150943396226578,0.03301886792452824,770700.0
226612,0.012494466755912592,-0.02291762790138263,-0.023799073433271478,5648700.0
226654,-0.17682926829268286,-0.30740740740740746,-0.2925925925925926,27030400.0
226681,-0.003920320028738433,0.008527386028206019,-0.002951787471302092,70100.0
226698,0.014423076923076872,0.02843601895734582,0.04739336492891,277000.0
226735,-0.042553191489361764,0.0,-0.08888888888888902,74600.0
226764,-0.01388888888888895,0.04929577464788748,0.014084507042253502,235000.0
226783,-0.003908955362791455,-0.022475953532788084,0.017481233768061433,327600.0
226797,-0.09970238095238093,0.03305785123966953,0.12561983471074378,146700.0
226830,-0.08333333333333326,0.07457386363636376,0.02627840909090895,3538200.0
226858,0.3168316831683169,0.11278195488721798,0.24060150375939826,400200.0
226868,-0.03358208955223896,0.015444015444015413,0.01930501930501949,91600.0
226874,-0.12751677852348986,-0.007692307692307665,0.0,6527200.0
226917,-0.16771970132107983,0.30848854382332647,0.2422360248447204,4100.0
226933,0.015503875968992276,-0.03053435114503822,-0.007633587786259555,337600.0
226976,-0.005633802816901401,0.11331444759206799,0.09985835694051004,470200.0
226986,0.007792207792207684,0.05670103092783507,-0.0077319587628864594,566700.0
227005,-0.05674185825148603,-0.027166882276843607,-0.0485122897800776,1317700.0
227011,0.02682563338301036,-0.03918722786647311,-0.0036284470246733536,550300.0
227022,-0.07815631262525058,0.07173913043478253,0.10217391304347845,339100.0
227072,0.023809523809523725,0.0,0.027906976744185963,128400.0
227096,-0.026974989326590038,-0.09702974257425745,-0.13861386138613863,429700.0
227110,0.0,-0.06329113924050633,0.0,1582100.0
227135,-0.00694444444444442,-0.027972027972028024,-0.11188811188811187,181900.0
227158,0.0,-0.40476190476190477,-0.45238095238095244,84700.0
227185,0.011679699666296006,0.0,0.014843209739240582,2662500.0
227194,-0.03673469387755113,-0.0805084745762712,-0.13559322033898302,2164500.0
227199,-0.032119914346895206,0.2986725663716816,-0.011061946902654829,1377300.0
227206,-0.023457862728062495,-0.014234875444839923,0.024466236654804296,2593700.0
227228,-0.0644028103044495,0.07259073842302888,0.017521902377972465,4439400.0
227280,-0.07506053268765134,-0.01308900523560208,0.04450261780104725,1154400.0
227301,-0.011917659804983827,0.0625,0.007675438596491224,8325500.0
227305,-0.09638554216867468,0.01333333333333342,-0.053333333333333344,7913100.0
227322,0.05303030303030298,0.0,0.021582733812949728,74600.0
227324,-0.007352941176470562,-0.05185185185185193,-0.0814814814814816,32700.0
227328,-0.014606630034080359,-0.03648811080455472,-0.010262285617885558,2565500.0
227340,-0.016710182767624038,-0.0334571959638873,0.0010621348911312722,1084700.0
227345,-0.06111111111111123,0.09467455621301779,0.053254437869822535,349700.0
225961,-0.15708812260536387,0.21818181818181825,0.17727272727272703,2790300.0
225971,0.06463878326996197,-0.03214285714285714,-0.03571428571428559,308000.0
226019,0.0031297184141982903,0.0018990707827037934,-0.0016956049688604535,1092300.0
226052,0.0042949176807445255,0.004989284865763777,0.018056497980517783,2523600.0
226127,-0.0454545454545453,-0.01253132832080206,-0.04260651629072687,753600.0
226165,-0.05217391304347807,-0.2844036697247707,-0.23853211009174324,599800.0
226226,0.16575591985428062,-0.03281250000000002,-0.09218750000000009,27300.0
226249,-0.03529411764705892,-0.06463414634146336,-0.05487804878048774,200.0
226276,-0.012019230769230727,0.014598540145985384,0.04257907542579065,984500.0
226287,0.02155172413793105,-0.016877637130801704,-0.16877637130801693,26200.0
226330,-0.04316546762589912,-0.03383458646616555,-0.11654135338345861,121200.0
226394,-0.011732851985559622,0.010958858447488673,0.01004570776255731,259300.0
226396,-0.008230452674897082,0.06224066390041494,0.15352697095435675,563700.0
226423,0.14347826086956506,-0.15462610899873253,-0.1508238276299112,190100.0
226452,0.008658008658008587,-0.03433476394849788,-0.0042918454935623185,1441200.0
226466,-0.048550741874080705,0.008949009900990124,0.02875093297791298,268300.0
226485,0.08064516129032251,-0.02985074626865669,-0.08955223880597019,50000.0
226501,-0.03076923076923077,1.1666666666666665,1.2380952380952381,51500.0
226534,-0.1427768891075386,0.174098393442623,-0.06885245901639347,56200.0
226558,0.07581967213114771,0.06095238095238109,0.03047615238095247,2282900.0
226567,0.12264150943396213,-0.15126050420168058,-0.15126050420168058,3268500.0
226599,0.10783434614238896,-0.02688894936512365,-0.044904518550807127,11822700.0
226623,0.08166888230497626,0.07386126081816746,0.2035288796254049,1930900.0
226631,0.0007999999999999119,0.11270983213429253,0.09432454036770577,487700.0
226646,-0.0004237288135593431,0.05680373039423481,0.0016955913522678223,861300.0
226655,-0.12962962962962965,-0.12340425531914889,-0.3319148936170213,25875000.0
226669,0.0,-0.021739130434782705,-0.021739130434782705,0.0
226683,-0.10526315789473684,-0.17647058823529405,0.0,12176500.0
226752,-0.0847457627118644,0.04938271604938271,0.030864197530864113,139900.0
226778,-0.03358778625954195,0.04581358609794628,0.10426540284360186,141100.0
226798,0.028099173553719048,0.059485530546623755,0.1012861736334405,40500.0
226818,-0.125,-0.1428571428571429,-0.12380952380952381,13300.0
226831,0.04403409090909083,0.0013605442176871652,-0.0020408163265305257,1888800.0
226836,0.08000000000000007,-0.04629629629629628,-0.05555555555555569,66400.0
226859,-0.1127819548872181,0.3728813559322035,0.44067796610169485,206400.0
226875,-0.07692307692307698,0.15833333333333321,0.10833333333333339,2027700.0
226918,-0.09385783298826778,0.08149276466108146,0.4546839299314547,2400.0
226935,-0.0847457627118644,-0.14814814814814825,-0.03703703703703709,2840400.0
226964,-0.04166666666666674,-0.014492753623188248,0.01449275362318847,2870800.0
227008,0.08333333333333348,0.0,0.0,98300.0
227017,0.007894736842105399,0.10704960835509136,0.08616187989556146,1471100.0
227023,-0.006521739130434634,0.14660831509846828,0.05032822757111588,127900.0
227088,-0.021344717182497308,-0.034896401308615044,-0.05125408942202847,66200.0
227100,0.0071258907363420665,-0.036163522012578664,-0.053459119496855445,1406100.0
227162,-0.03148195546455068,-0.036469371035940945,-0.028276955602536957,5959700.0
227264,-0.10259684972328653,-0.18453505692599603,-0.20730555028462994,1093200.0
227272,-0.028571428571428692,0.008403361344537785,-0.012605042016806678,98000.0
227281,-0.018324607329842868,0.01866666666666661,0.02933333333333321,1204000.0
227300,0.053113617406203906,-0.06724637681159418,-0.07362318840579707,5702200.0
227306,0.01333333333333342,-0.06578947368421062,-0.1578947368421053,7489000.0
225962,0.1863636363636363,-0.019157088122605304,0.05747126436781613,9596400.0
226000,0.04499899867046442,0.0015658250146799446,-0.015462928165981715,4160700.0
226006,-0.05369127516778527,-0.028368794326240954,-0.1879432624113475,29400.0
226012,0.056871990521326854,-0.020179328259162577,-0.04484305133825339,550300.0
226017,-0.006140035639089825,0.05015707853403151,0.01560207329842922,178900.0
226021,0.047109207708779355,-0.025221540558963862,-0.09066121336059985,1221200.0
226032,0.10256410256410242,0.34883720930232553,0.3255813953488371,734600.0
226043,0.09090909090909083,0.06666666666666665,0.050000000000000044,756600.0
226119,0.004807692307692291,0.019138755980861344,-0.05263157894736836,67000.0
226130,-0.022099447513812098,0.05246166263115404,0.07344632768361592,33100.0
226149,-0.02033898305084747,-0.0726643598615917,0.0657439446366781,114400.0
226173,0.002760212824912678,0.04050330318521422,0.13605973259929227,48300.0
226181,0.004395604395604602,0.01969365426695835,0.11597374179431053,8300.0
226195,0.03499999999999992,-0.01449275362318836,-0.05072463768115931,4866700.0
226227,-0.04687500000000011,-0.01967213114754085,-0.032786885245901565,13700.0
226242,-0.022222222222222254,-0.034545454545454324,-0.009242424242424274,11300.0
226291,0.009652711904721167,0.013108634073611736,-0.029863976245456003,25747600.0
226361,0.04237288135593231,-0.024390243902439046,-0.04878048780487809,61200.0
226372,0.011506794520548036,-0.0027085050221291596,-0.020314193949848014,175300.0
226414,-0.009433962264150941,0.01904761904761898,0.15238095238095228,27000.0
226424,-0.11026615969581754,0.0014245014245015675,-0.061253561253561184,48100.0
226438,-0.03508771929824561,-0.036363636363636376,-0.027272727272727337,196200.0
226450,0.015075376884422065,0.04950495049504955,0.03960396039603964,123700.0
226479,-0.030704620856347176,-0.020673524508169283,-0.028342814271423822,964900.0
226486,-0.02985074626865669,-0.03076923076923077,-0.10769230769230775,24900.0
226535,0.10885245901639351,-0.13305736250739209,-0.19633353045535185,45300.0
226553,-0.05263157894736825,0.04166666666666652,0.09953703703703698,769700.0
226559,0.07238095238095243,0.056838365896980436,-0.008880994671403242,1503800.0
226568,-0.08403361344537807,0.0,-0.07339449541284415,1104300.0
226587,0.020895522388059806,-0.020467836257309968,-0.029239766081871288,673000.0
226600,0.01909123471608587,-0.07598949467073901,-0.08680740966715506,5702300.0
226605,0.06451612903225801,0.03535353535353525,0.0,161800.0
226609,-0.02228423274182556,0.008547122994138068,-0.01566948807233548,151600.0
226624,-0.0032827245267655902,0.25319060299750507,0.2865376168572409,665900.0
226656,-0.04680851063829783,-0.14732142857142871,-0.3883928571428572,23287400.0
226684,-0.05882352941176472,-0.12499999999999989,-0.0625,4045400.0
226736,-0.045379579207920795,-0.008642956293991033,-0.034572127682460096,679500.0
226753,0.01851851851851838,-0.012121212121212088,0.0121212121212122,29100.0
226772,0.030206677265500748,0.021604938271604812,0.026234567901234573,8800.0
226780,0.06617647058823528,0.034482758620689724,0.01406891034482749,841500.0
226819,-0.06666666666666654,-0.08163265306122458,-0.12244897959183687,3100.0
226837,-0.03703703703703709,-0.009615384615384581,-0.019230769230769384,36000.0
226838,0.023866347309482228,0.009323938959256983,-0.002331072152397584,462200.0
226860,0.06779661016949157,0.30952380952380953,0.25396825396825395,108400.0
226876,0.16666666666666674,-0.07142857142857129,0.0,3053600.0
226885,0.005649717514124353,0.0393258426966292,-0.011235955056179692,10000.0
226888,0.021156558533145242,0.004143646408839796,-0.0303867403314918,448900.0
226891,0.046052631578947345,-0.05660377358490565,-0.11949685534591192,496200.0
226907,-0.014598540145985384,0.11111111111111116,0.022222222222222365,56300.0
226911,-0.04240282685512364,0.014760147601476037,-0.022140221402214055,159200.0
226919,-0.009139375476009182,0.38355111452728674,0.07609531129900082,700.0
226936,-0.09259259259259256,-0.020408163265306256,0.18367346938775508,1485000.0
227009,-0.03846153846153855,0.040000000000000036,0.0,23800.0
227032,0.0433603997289973,0.014285747217069655,0.043181884518892266,334700.0
227066,-0.04069007910406608,0.035574667709147745,0.03792021110242372,6650900.0
227089,0.01632653061224487,-0.012048250143431027,-0.030981124497991952,15891400.0
227092,-0.051515151515151514,0.09265175718849838,0.060702875399361034,323200.0
227097,0.0,-0.03761061946902666,-0.03761061946902666,329100.0
227114,-0.040723981900452566,0.12735849056603765,0.05660377358490565,147100.0
227208,-0.10386965376782076,0.04545454545454519,-0.011363636363636576,1816500.0
227220,0.02679615533980595,-0.02534043020648913,-0.02269292652447341,5201500.0
227221,0.020775658614115677,0.00983717774762538,0.0027136702849388517,789600.0
227229,-0.02924634420697414,-0.05793742757821552,-0.04403244495944392,5572500.0
227247,-0.0805555555555556,0.010070493454179319,-0.009063444108761365,11019200.0
227265,-0.12001902277039844,-0.04851746892277464,-0.10835569317281357,1642300.0
227282,-0.010000000000000009,0.030303030303030276,0.030303030303030276,317300.0
227292,0.004860848646082605,-0.021547933157431753,-0.04925237467018451,1743300.0
227313,-0.0038986354775827348,-0.017612524461839696,-0.10567514677103718,3146500.0
227366,0.07096774193548394,0.054216867469879526,0.07228915662650603,7600.0
225963,-0.04214559386973171,0.03600000000000003,0.01200000000000001,1620200.0
225999,-0.05728643216080387,-0.04264392324093824,-0.007462686567164201,84000.0
226033,-0.023255813953488413,0.3333333333333335,0.40476190476190466,424400.0
226044,0.03333333333333344,-0.016129032258064502,-0.016129032258064502,473900.0
226060,-0.010638297872340274,-0.043010752688172116,-0.10752688172043023,550000.0
226116,0.007756343920019226,-0.05552506566657156,-0.0808137393725269,1340800.0
226147,-0.026058631921824005,0.04347826086956519,0.013377926421404451,434300.0
226219,-0.010404647398843947,0.03504672979081147,0.01635516393353198,476700.0
226220,0.011173184357541777,-0.16574585635359118,-0.22467775322283612,93000.0
226247,0.04954954954954949,-0.09871244635193133,-0.12231759656652363,560200.0
226366,0.04166666666666652,0.028571428571428692,0.05142857142857138,4800.0
226398,0.7674885371168323,-0.02164003478473897,-0.05666281482525104,18267300.0
226425,0.027065527065527117,-0.07073509015256585,-0.11373092926490991,107600.0
226525,0.057254862745097945,-0.007789280704350143,-0.04043019437797446,391800.0
226526,0.052863436123347984,-0.025104602510460206,-0.05439330543933041,47900.0
226536,0.06534591957421632,-0.2117679492580613,-0.4041076992536137,104600.0
226569,-0.05504587155963303,-0.01941747572815533,-0.07766990291262144,692300.0
226632,0.06291148500365762,-0.05781142463867861,-0.08327598072952502,334900.0
226633,0.021505376344086002,-0.1947368421052631,-0.28421052631578936,1591500.0
226644,-0.053268765133171914,-0.025575447570332588,-0.010230179028133057,282100.0
226679,0.028571428571428692,-0.04629629629629628,0.0092592592592593,230600.0
226694,0.017612524461839474,-0.03653846153846163,-0.044230769230769296,164900.0
226701,-0.0921052631578948,-0.10144927536231874,-0.17391304347826086,147800.0
226706,-0.0969827586206895,0.05608591885441516,0.04892601431980892,72200.0
226755,0.07196029776674928,-0.012731481481481621,-0.10763888888888895,365900.0
226794,0.0370370370370372,-0.08333333333333337,-0.1428571428571429,7518000.0
226804,0.009615384615384581,-0.011904761904761862,-0.011904761904761862,666500.0
226825,0.028169014084507005,-0.07808219178082199,-0.12328767123287665,43800.0
226869,0.04980079681274896,0.01707776091081592,-0.0018975711574953369,505600.0
226877,-0.07857142857142851,0.03100775193798455,0.37209302325581395,2150100.0
226937,-0.12244897959183687,0.2093023255813955,0.2093023255813955,2615100.0
226958,0.03218788603740763,0.037294585699422456,0.0842815019865466,1874100.0
226983,-0.035802408880757475,-0.09389675429157607,-0.12462656584236953,224600.0
226988,0.005633802816901401,0.09243697478991608,0.14845938375350132,117100.0
227034,0.06735751295336789,-0.03155339805825241,-0.02669902912621369,1900000.0
227038,-0.019245021849648047,-0.032075490566037757,-0.004150962264151015,1980900.0
227045,-0.05659428718573578,-0.06588103910016063,-0.06909485806106075,1410800.0
227049,0.02405498281786933,-0.023489932885906062,0.003355704697986406,300500.0
227057,0.014603200000000038,-0.030663390972130444,-0.03504385394133036,570800.0
227065,-0.045232344976413486,-0.05633805521992463,-0.06530087235085458,267100.0
227090,0.027542427306272765,-0.006701030927835028,0.034536082474226903,580100.0
227104,0.03180212014134276,-0.020547945205479423,-0.03767123287671226,1404900.0
227118,0.04243771537970642,-0.04468928954326845,-0.023875085636674953,3594400.0
227139,0.01041666666666674,0.010309278350515427,-0.02577319587628868,238600.0
227159,0.0,-0.11999999999999988,-0.08000000000000007,1089100.0
227190,-0.01449275362318847,-0.05882352941176461,-0.044117647058823484,1816000.0
227209,0.05227272727272725,-0.02591792656587477,-0.06695464362850967,818200.0
227212,0.025936541786743428,-0.011235899507634706,0.04494387892943141,5615500.0
227223,-0.2650602409638554,0.20491803278688514,0.139344262295082,4508500.0
227248,0.010070493454179319,-0.04885343968095712,-0.03389830508474578,4956600.0
227266,-0.011320701418905732,-0.08887682660850604,-0.08505992366412196,1127100.0
227278,0.008000000000000007,0.0031746031746031633,0.007936507936507908,4724600.0
227299,0.045944631973745764,0.04885706180444038,0.08471546771472305,625700.0
227303,0.0,-0.006468304969298622,-0.04398449966445017,333500.0
227315,0.021505376344086002,0.27368421052631575,0.26315789473684204,178500.0
227346,-0.08415841584158412,-0.015135135135135203,-0.043243243243243246,412200.0
227351,0.09259259259259256,-0.05084745762711873,-0.16384180790960456,564800.0
227364,0.17864612700628046,0.0065127890179270675,0.012433452482738527,31600.0
227367,0.060842433697347875,-0.06029411764705883,-0.045588235294117596,1641800.0
225964,-0.05533596837944654,-0.01673640167364021,-0.11297071129707115,777200.0
225973,-0.008298755186721962,-0.05020920502092052,-0.06694560669456073,70700.0
226099,-0.024464831804281384,-0.10344827586206895,-0.17241379310344818,570000.0
226101,-0.017241379310344862,0.03508771929824572,0.01754385964912286,135800.0
226105,-0.0386965376782078,0.033898305084745894,0.05932203389830515,26100.0
226122,0.09651076466221231,-0.019634394041976977,-0.04536222071767093,188600.0
226143,-0.018817204301075363,0.027397260273972712,0.041095890410958846,362800.0
226168,-0.025974025974025983,-0.040000000000000036,0.040000000000000036,719500.0
226209,-0.053057553956834536,-0.010446343779677014,-0.010446343779677014,75400.0
226228,-0.042187500000000044,-0.16476345840130502,-0.022838499184339223,3000.0
226256,-0.020044543429844075,0.06818181818181812,0.06818181818181812,254500.0
226263,-0.11542901115813786,-0.20269682470639405,0.5658982166159199,5600.0
226270,-0.15286624203821653,0.048872180451127845,0.20676691729323293,50000.0
226289,0.03493975903614466,0.04190919674039573,0.006984866123399103,4800.0
226298,-0.030215827338129442,0.020771513353115667,-0.013353115727002929,465400.0
226320,-0.1018181818181817,-0.12348178137651822,-0.16801619433198378,703800.0
226333,-0.034965034965035,-0.021739130434782483,-0.0036231884057970065,40000.0
226350,-0.043748060812907164,-0.0259571706683972,-0.027255029201816994,80700.0
226376,0.042328042328042326,-0.010152284263959421,0.025380710659898442,2367400.0
226380,-0.004279600570613273,-0.012893982808023008,-0.012893982808023008,150400.0
226413,0.01904761904761898,0.028037383177569986,0.04672897196261672,77800.0
226433,-0.02238806058083509,-0.10486131397594667,-0.14744878053229338,161000.0
226497,-0.03838383838383841,-0.008403361344537785,0.1204481792717087,216100.0
226506,-0.08552631578947378,-0.18129496402877698,-0.1834532374100719,2625000.0
226538,0.014438845572373182,-0.005968824335683132,-0.015151514455853388,38100.0
226542,0.0,-0.2941176470588236,-0.47058823529411775,1661500.0
226549,-0.02579852579852593,0.0050441361916770955,-0.08701134930643117,3684700.0
226590,0.09265182404638428,-0.03362578849047404,-0.05847953045381493,1577900.0
226597,-0.022403258655804503,-0.15416666666666667,-0.12499999999999989,196500.0
226673,-0.03703703703703709,0.03846153846153855,0.03846153846153855,352400.0
226696,0.016541353383458635,0.11612426035502965,0.12795857988165693,99400.0
226743,0.02557551150895132,0.018079737027447695,0.06920192835399441,2574900.0
226758,-0.0765239948119325,0.032303370786516794,-0.1039325842696629,211500.0
226766,-0.057777777777777706,-0.004716981132075526,-0.11792452830188682,196700.0
226880,0.05649717514124308,-0.09090909090909094,-0.20320855614973266,5017700.0
226904,0.037593984962405846,0.1304347826086958,0.2884057971014493,285900.0
226941,0.07692307692307687,-0.1785714285714286,-0.1428571428571428,716200.0
226955,0.013333333333333197,0.04824561403508776,-0.00877192982456143,819800.0
226962,-0.00649350649350644,0.0,-0.019607843137254943,127500.0
226991,-0.019512195121951237,-0.11940298507462677,-0.02238805970149238,87400.0
226999,-0.014336917562724039,0.040000000000000036,0.0,44400.0
227062,0.032258064516129004,-0.1250000000000001,-0.1250000000000001,633100.0
227084,-0.08475332218624765,-0.0940715335619795,-0.04850563449289558,471600.0
227128,-0.07629427792915522,0.008849557522123908,-0.16519174041297935,261300.0
227136,0.0,-0.040909090909091006,-0.10000000000000009,189100.0
227150,-0.0472255017709563,0.05080545229244127,-0.035935563816604676,154700.0
227219,-0.0047214353163362865,0.03937381404174589,0.00616693548387115,2446000.0
227283,0.0,0.0,0.010869565217391353,173400.0
227288,0.032590051457976,-0.004152823920265725,-0.01661129568106301,91100.0
227296,0.0066225165562914245,-0.1907894736842104,-0.2171052631578947,899300.0
227318,-0.008333333333333304,-0.01680672268907568,-0.025210084033613467,152200.0
227319,-0.03888894444444446,-0.03179185154866193,-0.03468196732265705,32200.0
227353,-0.006756756756756799,-0.3197278911564626,-0.23129251700680276,357000.0
227369,-0.0329219118867331,-0.0164893093877293,-0.021808511798325103,377400.0
225972,0.05166051660516602,-0.15438596491228063,-0.19298245614035092,145800.0
226048,0.01990049798390192,-0.016492427793087683,0.00603953556421688,816200.0
226065,0.053196984818260074,-0.03618263720252546,-0.047110199125789065,9199500.0
226074,0.004943153732080985,-0.06542056074766345,-0.023118494835218772,322900.0
226113,0.0,-0.0992366412213741,-0.04580152671755733,11800.0
226150,0.046875,0.08955223880596996,0.16417910447761197,157300.0
226167,0.03846153846153855,-0.04938271604938271,-0.0864197530864198,2145000.0
226190,0.011904761904761862,0.11029411764705888,0.14632352941176463,112500.0
226197,-0.004878048780487698,-0.09313725490196079,-0.12990196078431382,627700.0
226208,0.0,-0.1575757575757576,-0.1924242424242424,342900.0
226210,0.016000000000000014,0.015748031496063186,0.0,41900.0
226248,0.023419203747072626,-0.06407322654462244,-0.029748283752860427,151800.0
226252,0.05027932960893855,-0.029255319148936088,-0.037234042553191404,2396200.0
226262,0.0,-0.31605263157894736,-0.3973684210526316,0.0
226358,-0.011053609290030852,-0.01432064318269799,-0.0027942718405263856,310000.0
226362,0.008403361344537785,-0.008333333333333304,0.0,34100.0
226395,0.014134275618374659,-0.05226480836236935,-0.08710801393728218,386800.0
226403,0.03937007874015741,-0.06818181818181812,-0.045454545454545414,151100.0
226408,0.12505307863726478,-0.07184125577086442,-0.048229136590210775,6978400.0
226412,-0.02076124567474047,0.11307420494699638,0.1307420494699647,5900.0
226444,-0.04201680672268915,0.01754385964912286,-0.05263157894736825,846800.0
226476,0.013745658018526452,0.0248587118644068,0.04406781920903957,1706100.0
226493,-0.12631578947368416,0.00401606425702794,0.10040160642570273,165200.0
226496,-0.01047732222404374,-0.03529411764705881,0.014117600000000063,267600.0
226503,0.16117216117216104,-0.04100946372239744,-0.1514195583596214,1527900.0
226515,-0.01768384769643838,-0.009769473320954458,0.05751918896858821,85900.0
226516,0.002044948791617651,-0.006122448979591799,-0.004081632653061273,100100.0
226630,0.020440251572326984,-0.00924499229583986,-0.03235747303543912,461400.0
226647,-0.013237063778579916,-0.14552845528455294,-0.10813004065040643,545600.0
226658,-0.0728155339805826,-0.31413612565445026,-0.16753926701570676,31191100.0
226671,0.0,0.2272727272727273,0.09090909090909083,41600.0
226715,-0.05309738727349356,-0.026257233033254668,-0.0017801068883002147,88600.0
226739,-0.04687499999999989,0.06557377049180313,0.04918032786885229,41800.0
226756,0.07643312101910826,-0.08757396449704136,-0.1408284023668639,754600.0
226773,0.04800000000000004,0.003053435114503955,-0.05038167938931304,94200.0
226795,0.05882352941176472,0.0,-0.01388888888888895,2596900.0
226805,0.023809523809523725,0.09302325581395365,0.06976744186046502,20400.0
226826,0.07692307692307687,-0.08571428571428563,0.10000000000000009,166300.0
226845,0.09935897435897445,0.13702623906705536,0.22594752186588907,5055300.0
226862,0.01851851851851838,-0.10909090909090902,0.0121212121212122,941200.0
226879,-0.06474820143884885,0.3615384615384616,0.2999999999999998,1054200.0
226908,-0.0625,-0.09333333333333338,-0.10666666666666669,463200.0
226921,0.267605633802817,-0.2222777777777778,-0.3299444444444445,3800.0
226954,0.02264150943396226,-0.1697416974169742,-0.22878228782287824,1249100.0
